tconst	directors	writers
tt0160316	NULL	NULL
tt0204101	nm0229244,nm0490253,nm0590511,nm0624002,nm0667686,nm0952670	nm0009126,nm0490253,nm1195607
tt0229892	nm0761055,nm0134018	nm0163210,nm0665651
tt0478531	nm5453906	nm5440887
tt10121834	nm1270930	nm1270930
tt10188844	nm11954824,nm10622541	nm10622541
tt10445282	nm1362612	nm2463566
tt10448568	nm4779082,nm10599251,nm8344394	nm4779082,nm8344394,nm10939895,nm10753028
tt10793596	nm4683796	nm3110868,nm3578545
tt11238530	nm3449336,nm11109955	nm9866056,nm11866078,nm1442572,nm11866079,nm11866095,nm11109962,nm11109960,nm11109963,nm11109961
tt11355654	nm1987706	NULL
tt11429932	nm11196925	nm11196926,nm11196925
tt11431748	nm11197300	nm11197300
tt11477750	nm6030211	nm6030211
tt11481658	NULL	NULL
tt11731024	nm1011887	nm1011887
tt12516382	NULL	nm9969529,nm11661716
tt12612250	nm4896383	NULL
tt12669996	nm8854491	nm8854491,nm8857231,nm8670713,nm9984608
tt13156822	nm9357011	NULL
tt13162656	nm7705497	nm7705497
tt13224394	nm11730281	nm6835758,nm11730281
tt13241608	nm3448387	nm3448387,nm6314752,nm11963431
tt13388966	nm12032077	nm12032077
tt13479840	nm6131031	nm12073441
tt13567338	nm6515908	nm12111146,nm6515908
tt13617202	nm4235621	nm4235621
tt13774214	NULL	nm11343269
tt14206954	nm8520135	NULL
tt14391264	nm6072850	nm12459725
tt14477782	NULL	nm12498540
tt14626184	nm1885584	nm1885584,nm6898644
tt1500916	nm0924170	nm0263543,nm0337710,nm3594364
tt15086352	nm2457457	nm13249105,nm2457457
tt15108182	nm9148892	nm9148892,nm12786341
tt15243520	nm12911815,nm12916879,nm12916880,nm12916878,nm12916883,nm12916881,nm3097774,nm5357206,nm9031035,nm12916877,nm12916870,nm12916871,nm12916891,nm12851541,nm12909156,nm12851538,nm12911203,nm12916875,nm12851539,nm12851540,nm12916885,nm5284694,nm12909155,nm1290	nm12911775,nm12911776,nm12911773,nm12911772,nm12911771,nm12911774,nm12911458,nm12851558,nm12917813,nm12917815,nm12917816,nm12917814,nm12851564,nm12851560,nm12851559,nm12851563,nm12851566,nm12851561,nm4973367,nm12851562,nm12851565
tt15301994	nm12861406	NULL
tt15333582	nm11271325	NULL
tt15386480	nm12917452	nm12917452
tt15458126	nm12888408	nm12951893,nm2703622,nm13371197
tt15561862	nm8349000	NULL
tt15726098	nm1156658	nm0445233,nm1156658,nm2636728,nm2733579
tt16194702	nm11559018	nm11559018
tt16310940	nm6250902,nm1961805	nm1192046,nm6250902
tt16762816	nm5954636	nm5954636
tt17001790	nm3266312,nm7664327	nm3266312,nm7664327
tt17506078	NULL	nm3801060
tt17519848	nm12523605	NULL
tt18225750	nm13034656	nm13034656
tt18313156	nm13430494	NULL
tt18353108	nm8723905	nm11889928
tt18372080	nm1703983	nm1703983
tt19113518	NULL	NULL
tt1918943	nm0210283,nm3322225	NULL
tt19715754	nm10194309	nm10194309
tt19783474	nm12585361,nm10431153	nm10431153
tt19797258	nm13596427	nm3535133,nm4636515
tt19812758	nm13600551	NULL
tt20414862	nm5937739	nm5937739
tt20455074	nm4896383	nm4896383,nm7155069
tt21036122	nm10671611	NULL
tt21083296	nm9574275	nm9574275
tt21091528	nm13498791,nm12334780	nm13742040,nm12334780,nm13763705
tt21094962	nm9202318	nm13778564
tt21111272	nm9825894	nm9825894
tt21114222	nm12334780,nm13498791	nm13742040,nm12334780
tt21154882	nm13798959	nm13798959
tt21158494	nm4093986	nm4093986
tt21192652	nm0477215	nm0477215
tt21198540	nm12535823	nm12535823
tt2491128	nm3646033	nm4488888,nm3646033,nm5348063
tt2831468	nm4395548	nm2023513,nm2472626,nm4395548
tt4335666	nm4030888	NULL
tt0209842	nm0028491,nm0133345	nm0326852
tt0262958	nm0792528	nm0023764
tt0456708	nm1340002	nm1340002
tt0461730	nm0619792	nm1929664
tt10024036	nm3955487	nm3955487
tt10116578	nm10589229	NULL
tt10126744	nm1011172,nm3740437,nm1695408	nm1011172,nm3740437,nm6871673,nm1695408
tt10322518	nm1364177	nm10200223
tt10763220	nm9645331	nm9645331
tt10856470	nm9760148	nm9760148
tt10943828	nm9154906	nm8822622,nm10547430,nm4311132,nm9154906
tt11526658	NULL	NULL
tt11554404	nm8358487	nm11249211,nm2556703,nm9427111,nm8358487
tt12008442	nm11438771	NULL
tt12171110	NULL	nm0607848
tt12331872	NULL	nm8270694
tt12502840	nm11657132	nm11657132
tt12544540	nm8690492	NULL
tt12564100	nm4947502,nm3793475,nm3793546,nm3792709,nm3873157,nm3833313,nm6194289,nm5278349,nm5099469,nm12315073,nm5279141	NULL
tt12593524	NULL	NULL
