tconst	ordering	nconst	category	job	characters
tt0160316	10	nm10713709	archive_footage	NULL	NULL
tt0160316	1	nm0419330	archive_footage	NULL	NULL
tt0160316	2	nm0481815	archive_footage	NULL	NULL
tt0160316	3	nm0630362	archive_footage	NULL	NULL
tt0160316	4	nm0706948	archive_footage	NULL	NULL
tt0160316	5	nm0753768	archive_footage	NULL	NULL
tt0160316	6	nm0767263	archive_footage	NULL	NULL
tt0160316	7	nm1337075	archive_footage	NULL	NULL
tt0160316	8	nm0853259	archive_footage	NULL	NULL
tt0160316	9	nm0928376	archive_footage	NULL	NULL
tt0204101	10	nm0828156	actress	NULL	["(1996-1998)"]
tt0204101	1	nm0065053	actress	NULL	["(1996)"]
tt0204101	2	nm0221626	actress	NULL	["(1996-1998)"]
tt0204101	3	nm0467442	actor	NULL	["(1996-1998)"]
tt0204101	4	nm8765777	actor	NULL	["(1998)"]
tt0204101	5	nm0590535	actor	NULL	["(1996-1997)"]
tt0204101	6	nm0624001	actor	NULL	["(1996-1997)"]
tt0204101	7	nm0667844	actress	NULL	["(1996)"]
tt0204101	8	nm0705834	actress	NULL	["(1996-1998)"]
tt0204101	9	nm1272318	actress	NULL	["(1996)"]
tt0229892	10	nm0584874	actress	NULL	["Doña Rosa"]
tt0229892	1	nm0308953	actress	NULL	["Juliana Ascencio"]
tt0229892	2	nm0243194	actress	NULL	["Sonia Palas"]
tt0229892	3	nm0051316	actor	NULL	["Dr. Marcelo Ascencio"]
tt0229892	4	nm0142747	actor	NULL	["Dino"]
tt0229892	5	nm0163210	writer	creator	NULL
tt0229892	6	nm0429079	actress	NULL	["Teresa"]
tt0229892	7	nm0854290	actor	NULL	["Vado"]
tt0229892	8	nm0529893	actor	NULL	NULL
tt0229892	9	nm0503245	actress	NULL	NULL
tt0478531	1	nm5661920	actor	NULL	["Colby"]
tt0478531	2	nm1248475	actor	NULL	["Cacko"]
tt0478531	3	nm1446424	actor	NULL	["Toso"]
tt0478531	4	nm1248830	actor	NULL	["Mile Panika"]
tt0478531	5	nm5440887	actress	NULL	["Tamara (2008-2012)"]
tt10121834	10	nm6771040	actor	NULL	["Sean"]
tt10121834	1	nm2712610	actress	NULL	["Carrolyn"]
tt10121834	2	nm1909975	actor	NULL	["Matt Summers"]
tt10121834	3	nm5077481	actor	NULL	["Agent Cody"]
