tconst	average_rating	num_votes
tt0160316	9.9	14
tt0204101	9.9	7
tt0229892	9.9	5
tt0478531	9.9	145
tt10121834	9.9	8
tt10188844	9.9	5
tt10445282	9.9	13
tt10448568	9.9	27
tt10793596	9.9	5
tt11238530	9.9	5
tt11355654	9.9	6
tt11429932	9.9	7
tt11431748	9.9	7
tt11477750	9.9	5
tt11481658	9.9	8
tt11731024	9.9	57
tt12516382	9.9	9
tt12612250	9.9	9
tt12669996	9.9	58
tt13156822	9.9	5
tt13162656	9.9	24
tt13224394	9.9	9
tt13241608	9.9	9
tt13388966	9.9	54
tt13479840	9.9	6
tt13567338	9.9	6
tt13617202	9.9	6
tt13774214	9.9	5
tt14206954	9.9	6
tt14391264	9.9	12
tt14477782	9.9	6
tt14626184	9.9	19
tt1500916	9.9	8
tt15086352	9.9	12
tt15108182	9.9	6
tt15243520	9.9	8
tt15301994	9.9	139
tt15333582	9.9	9
tt15386480	9.9	35
tt15458126	9.9	5
tt15561862	9.9	8
tt15726098	9.9	5
tt16194702	9.9	7
tt16310940	9.9	16
tt16762816	9.9	19
tt17001790	9.9	46
tt17506078	9.9	5
tt17519848	9.9	10
tt18225750	9.9	8
tt18313156	9.9	7
tt18353108	9.9	5
tt18372080	9.9	5
tt19113518	9.9	94
tt1918943	9.9	7
tt19715754	9.9	5
tt19783474	9.9	6
tt19797258	9.9	7
tt19812758	9.9	6
tt20414862	9.9	5
tt20455074	9.9	7
tt21036122	9.9	724
tt21083296	9.9	13
tt21091528	9.9	27
tt21094962	9.9	57
tt21111272	9.9	11
tt21114222	9.9	28
tt21154882	9.9	13
tt21158494	9.9	11
tt21192652	9.9	5
tt21198540	9.9	61
tt2491128	9.9	7
tt2831468	9.9	7
tt4335666	9.9	8
tt0209842	9.8	8
tt0262958	9.8	6
tt0456708	9.8	5
tt0461730	9.8	5
tt10024036	9.8	5
tt10116578	9.8	1746
tt10126744	9.8	5
tt10322518	9.8	5
tt10763220	9.8	9
tt10856470	9.8	6
tt10943828	9.8	6
tt11526658	9.8	6
tt11554404	9.8	50
tt12008442	9.8	5
tt12171110	9.8	155
tt12331872	9.8	31
